dataset_name,performance,time_used
abalone,-9999,83
airbnb_melbourne,-9999,27
airlines,-9999,125
bioresponse,-9999,19
camo_sem_seg,-9999,73
cd18,-9999,92
climate_fever,-9999,143
covertype,-9999,18
electricity_hourly,-9999,140
europeanflooddepth,-9999,347
fiqabeir,-9999,187
gnad10,0.8466726037979784,159
ham10000,-9999,114
hateful_meme,-9999,84
isic2017,-9999,170
kick_starter_funding,-9999,53
memotion,0.5321510297482839,92
mldoc,0.5525318561751583,85
nn5_daily_without_missing,-9999,96
petfinder,-9999,94
road_segmentation,-9999,325
rvl_cdip,-9999,56
solar_10_minutes,-9999,166
women_clothing_review,-9999,36
yolanda,-9999,89
